Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
The Ken,,"Bengaluru, Karnataka, India",Digital Media,The Ken is India’s first subscriptions-only business news site,,,1500000.0,Series A,2018-01-01
Saffronstays,,"Mumbai, Maharashtra, India",—,SaffronStays connects travellers to India's Incredible hosts.,,,2000000.0,Seed,2018-01-01
Vebbler,,"Bengaluru, Karnataka, India",File Sharing,A personal network for close people,,,1550000.0,Seed,2018-01-01
Foyr,,"Pune, Maharashtra, India",Home Decor,"Foyr.com is India's first online, automated interior designer",,,4200000.0,Series A,2018-01-01
Mengage,,"Jaipur, Rajasthan, India",Health Care,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,,,175000.0,Seed,2018-01-01
Inner Being Wellness,,"Hyderabad, Andhra Pradesh, India",—,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",,,1550000.0,Angel,2018-01-01
Kobster,,"Chennai, Tamil Nadu, India",E-Commerce,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,,,1550000.0,Seed,2018-01-01
Wishberry,,"Mumbai, Maharashtra, India",Crowdfunding,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,,,1550000.0,Series A,2018-01-01
Mcxtra,,"Andheri, Maharashtra, India",Finance,McXtra is a digital insurance broking startup.,,,1300000.0,Seed,2018-01-01
Magic Crate,,"Bangalore, Karnataka, India",Children,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",,,1550000.0,Seed,2018-01-01
Smartvizx,,"Noida, Uttar Pradesh, India",Software,It is a Virtual Reality Solutions StartUp,,,1450000.0,Seed,2018-01-01
Myseodoc,,"Delhi, Delhi, India",—,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",,,1550000.0,Seed,2018-01-01
Enlyft Digital Solutions Private Limited,,"Pune, Maharashtra, India",—,Digital Marketing Agency,,,1550000.0,Seed,2018-01-01
Scale Labs,,"Delhi, Delhi, India",—,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,,,1000000.0,Seed,2018-01-01
Hungerbox,,"Bengaluru, Karnataka, India",B2B,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,,,4500000.0,Series A,2018-01-01
Biryani By Kilo,,"Noida, Uttar Pradesh, India",Catering,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,,,1000000.0,Seed,2018-01-01
Wholesome Habits (Eat Anytime),,"Mumbai, Maharashtra, India",Food And Beverage,Wholesome Habits (EAT Anytime) is a healthy snacks Company.,,,500000.0,Seed,2018-01-01
Gobumpr,,"Mylapore, Tamil Nadu, India",Automotive,Car Service and Bike Service Mobile App,,,600000.0,Seed,2018-01-01
Fixpocket,,"Ahmedabad, Gujarat, India",Computer,Fixpocket is a internet-based startup.,,,250000.0,Seed,2018-01-01
Edureka!,,"Bangalore, Karnataka, India",Android,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",,,2000000.0,Series A,2018-01-01
Hashtag Loyalty Private Limited,,"Mumbai, Maharashtra, India",Analytics,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,,,1550000.0,Seed,2018-01-01
Wow Express,,"Mumbai, Maharashtra, India",Delivery,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.",,,4500000.0,Series A,2018-01-01
Zunroof,,"Gurgaon, Haryana, India",Environmental Consulting,ZunRoof is a rooftop focused solar startup.,,,1550000.0,Angel,2018-01-01
Eggoz,,"Indore, Madhya Pradesh, India",Food And Beverage,Eggoz is a full-stack layer poultry business operator & service provider .,,,1550000.0,Angel,2018-01-01
Sqrrl Fintech,,"Gurgaon, Haryana, India",Big Data,Personal Finance,,,1000000.0,Seed,2018-01-01
Galaxycard,,"Noida, Uttar Pradesh, India",Finance,GalaxyCard is a mobile based Instant credit card.,,,1550000.0,Seed,2018-01-01
Indiqube,,"Bengaluru, Karnataka, India",Commercial Real Estate,IndiQube is a provider of co-working spaces based in Bengaluru.,,,15000000.0,Series A,2018-01-01
Egk Foods,,"Mumbai, Maharashtra, India",Food And Beverage,A food processing enterprise registered with StartUp India .,,,1550000.0,Seed,2018-01-01
Nirogstreet,,"Gurgaon, Haryana, India",Apps,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,,,300000.0,Seed,2018-01-01
Pixr8,,"Ghaziabad, Uttar Pradesh, India",Digital Media,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,,,50000.0,Seed,2018-01-01
Nivesh.Com,,"Noida, Uttar Pradesh, India",Finance,Nivesh.com is a mass market mutual funds investment platform.,,,1550000.0,Seed,2018-01-01
Theranosis Life Sciences,,"Hyderabad, Andhra Pradesh, India",Biotechnology,A fully functioning cell culture facility and molecular biology setup.,,,1550000.0,Seed,2018-01-01
Poshmiles Online Solutions Private Limited,,"Bengaluru, Karnataka, India",Travel,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,,,1550000.0,Seed,2018-01-01
Reculta,,"Noida, Uttar Pradesh, India",Education,A campus recruitment solution provider.,,,1550000.0,Seed,2018-01-01
Orbo.Ai,,"Mumbai, Maharashtra, India",Internet,Orbo is a computer vision and deep facial technology company.,,,1550000.0,Seed,2018-01-01
Inntot Technologies,,"Kochi, Kerala, India",Consumer Electronics,"Inntot Technologies, is a technology driven company.",,,1550000.0,Seed,2018-01-01
Zoctr Health,,"Powai, Assam, India",Apps,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,,,1550000.0,Seed,2018-01-01
Hey Deedee,,"Mumbai, Maharashtra, India",Delivery Service,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,,,1550000.0,Seed,2018-01-01
Digiconnectt Technologys,,"Bengaluru, Karnataka, India",Information Services,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,,,125000.0,Seed,2018-01-01
Locus.Sh,,"Bangalore, Karnataka, India",Big Data,Locus is an intelligent logistics automation platform.,,,4000000.0,Series A,2018-01-01
Sports Flashes Pvt. Ltd,,"New Delhi, Delhi, India",Basketball,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",,,1000000.0,Seed,2018-01-01
Inc42,,"New Delhi, Delhi, India",Media And Entertainment,Inc42 is one of the leading tech media publications of India.,,,1550000.0,Seed,2018-01-01
Picxy,,"Guntur, Andhra Pradesh, India",Internet,"A stock photo startup based in Amravati, Andhra Pradesh.",,,130000.0,Seed,2018-01-01
Huddle,,"Haryana, Haryana, India",Consulting,A coworking incubator Company.,,,300000.0,Seed,2018-01-01
Benepik,,"Gurgaon, Haryana, India",Human Resources,HR Technology start-up.,,,1550000.0,Seed,2018-01-01
Cash Suvidha,,"New Delhi, Delhi, India",Finance,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,,,1000000.0,Seed,2018-01-01
Smartcoin,,"Bangalore, Karnataka, India",Big Data,Providing financial access to the millions of mobile users in India using alternative credit assessment,,,2000000.0,Seed,2018-01-01
Carmel Organics,,"Indore, Madhya Pradesh, India",Agriculture,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",,,1550000.0,Series A,2018-01-01
Roadcast,,"New Delhi, Delhi, India",—,Transforming the way businesses deliver. Work-force & fleet mobility tools.,,,250000.0,Angel,2018-01-01
Printline Media(Theprint),,"New Delhi, Delhi, India",Digital Media,A digital news platform.,,,1550000.0,Seed,2018-01-01
Creditas Solutions,,"Gurgaon, Haryana, India",Financial Services,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,,,1550000.0,Seed,2018-01-01
Urbanpiper,,"Bengaluru, Karnataka, India",Software,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,,,1550000.0,Seed,2018-01-01
Doxper,,"Mumbai, Maharashtra, India",Health Care,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,,,1550000.0,Seed,2018-01-01
I2Ifunding,,"Noida, Uttar Pradesh, India",Crowdfunding,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,,,1550000.0,Angel,2018-01-01
Shakedeal,,"Bangalore, Karnataka, India",B2B,Home of B2B Commerce,,,1550000.0,Seed,2018-01-01
Helloverify,,"Noida, Uttar Pradesh, India",Fraud Detection,HelloVerify is an online background check platform.,,,1550000.0,Seed,2018-01-01
Fasal,,"Bengaluru, Karnataka, India",Agriculture,Climate Smart Precision Agriculture Platform,,,120000.0,Seed,2018-01-01
Coingeto,,"Delhi, Delhi, India",Cryptocurrency,CoinGeto is one of India’s most advanced digital assets exchange.,,,1550000.0,Seed,2018-01-01
Avail Finance,,"Bangalore, Karnataka, India",Finance,Avail is a mobile-first platform aiming to financially include the urban mass of India.,,,17200000.0,Series A,2018-01-01
Tripeur,,"Bengaluru, Karnataka, India",Information Technology,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,,,600000.0,Seed,2018-01-01
Wedeterna,,"Bangalore, Karnataka, India",Wedding,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",,,1550000.0,Angel,2018-01-01
Stumagz,,"Hyderabad, Andhra Pradesh, India",Digital Media,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,,,1550000.0,Seed,2018-01-01
Doubtnut,,"Gurgaon, Haryana, India",E-Learning,Gurgaon based E-learning platform.,,,1550000.0,Seed,2018-01-01
Mcaffeine,,"Mumbai, Maharashtra, India",Consumer Goods,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,,,1550000.0,Seed,2018-01-01
Trustcheckr,,"Bengaluru, Karnataka, India",Information Technology,A Bengaluru-based fraud analytics solution provider .,,,100000.0,Angel,2018-01-01
Healthassure,,"Mumbai, Maharashtra, India",Fitness,HealthAssure provides access to Discounted & High Quality primary care medical network.,,,1000000.0,Seed,2018-01-01
Picture Time,,"New Delhi, Delhi, India",Digital Entertainment,Operator of low-cost mobile cinema theatres in rural areas.,,,1550000.0,Seed,2018-01-01
1Crowd,,"Mumbai, Maharashtra, India",Crowdsourcing,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,,,3500000.0,Angel,2018-01-01
Aarav Unmanned Systems,,"Bangalore, Karnataka, India",Delivery,Professional Drones for Enterprise Applications,,,1550000.0,Seed,2018-01-01
Wellthy Therapeutics Pvt Ltd,,"Mumbai, Maharashtra, India",Health Care,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",,,1550000.0,Seed,2018-01-01
Nua,,"Mumbai, Maharashtra, India",Consumer Goods,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,,,1550000.0,Seed,2018-01-01
Kuvera.In,,"Bangalore, Karnataka, India",Financial Services,An online platform for mutual fund investments.,,,250000.0,Angel,2018-01-01
Livehealth,,"Pune, Maharashtra, India",Health Care,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,,,1100000.0,Seed,2018-01-01
Gramophone,,"Indore, Madhya Pradesh, India",Farming,An agricultural inputs startup Company.,,,1000000.0,Seed,2018-01-01
Ora,,"Kolkata, West Bengal, India",Business Travel,Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,,,1550000.0,Seed,2018-01-01
Buddy4Study.Com,,"Noida, Uttar Pradesh, India",Career Planning,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,,,3000000.0,Series A,2018-01-01
Predible Health,,"Bangalore, Karnataka, India",Medical Device,Healthcare devices for cancer detection,,,1550000.0,Seed,2018-01-01
Syncremedies Healthcare Pvt Ltd,,"Bangalore, Karnataka, India",Alternative Medicine,"Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",,,1550000.0,Seed,2018-01-01
Blueleaf Cyberspace Systems,,"Bangalore, Karnataka, India",Internet,Bluleaf Cyberspace is Cloud Based Software Company.,,,1550000.0,Seed,2018-01-01
Toffee,,"Gurgaon, Haryana, India",—,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",,,1500000.0,Seed,2018-01-01
Oro Wealth,,"Mumbai, Maharashtra, India",—,Online wealth management platform,,,1600000.0,Series A,2018-01-01
Healwell24,,"Mumbai, Maharashtra, India",Dental,"HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",,,200000.0,Seed,2018-01-01
Acko General Insurance,,"Mumbai, Maharashtra, India",Financial Services,Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,,,12000000.0,Series A,2018-01-01
Arzooo.Com,,"Bangalore, Karnataka, India",Consumer Electronics,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,,,1550000.0,Seed,2018-01-01
Bonphul Air Products,,"Delhi, Delhi, India",Cleantech,A clean tech product Company,,,1550000.0,Angel,2018-01-01
Dheeyantra Research Labs,,"Bangalore, Karnataka, India",Artificial Intelligence,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",,,1550000.0,Seed,2018-01-01
Edyoo,,"Bengaluru, Karnataka, India",Education,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",,,1000000.0,Seed,2018-01-01
Chtrbox,,"Mumbai, Maharashtra, India",Advertising,Chtrbox connects social media influencers with brands .,,,1550000.0,Angel,2018-01-01
